AQ,DQ,Loss,ccODP,Dispersion
1,1,252964,742116.756629359,55379.0798241496
2,1,307207,784810.776862327,55379.0798241496
3,1,362573,705698.10589095,55379.0798241496
4,1,267205,780999.339462688,55379.0798241496
5,1,250814,789995.274491702,55379.0798241496
6,1,437448,775088.462200333,55379.0798241496
7,1,281925,799654.900128422,55379.0798241496
8,1,335837,742081.223844333,55379.0798241496
9,1,508751,842403.55695026,55379.0798241496
10,1,566421,813666.588902923,55379.0798241496
11,1,330746,787868.930977841,55379.0798241496
12,1,639930,830919.649152609,55379.0798241496
13,1,815602,857555.087946275,55379.0798241496
14,1,614666,842553.067096653,55379.0798241496
15,1,933680,894401.283699934,55379.0798241496
16,1,1024194,938021.924289513,55379.0798241496
17,1,1000754,879754.660311655,55379.0798241496
18,1,858187,873293.010077454,55379.0798241496
19,1,940137,962592.671440446,55379.0798241496
20,1,1083642,1015916.86609591,55379.0798241496
21,1,1529379,998511.779589192,55379.0798241496
22,1,920360,902200.719300182,55379.0798241496
23,1,1144544,1033328.73134373,55379.0798241496
24,1,1000917,926875.481584021,55379.0798241496
25,1,1120474,1011993.159384,55379.0798241496
26,1,1183614,1101539.61126887,55379.0798241496
27,1,1416262,1106133.96951623,55379.0798241496
28,1,1215505,1121498.8626098,55379.0798241496
29,1,1483701,1157990.41904901,55379.0798241496
30,1,1557450,1275114.97356608,55379.0798241496
31,1,1583208,1282508.88204238,55379.0798241496
32,1,1916755,1360838.59112312,55379.0798241496
33,1,1931933,1484859.67063262,55379.0798241496
34,1,1938336,1535586.19960974,55379.0798241496
35,1,1660212,1499390.64373095,55379.0798241496
36,1,2018884,1640002.10534993,55379.0798241496
37,1,1842142,1915428.00556702,55379.0798241496
38,1,2349328,2090866.56115049,55379.0798241496
39,1,2924525,2446151.49713063,55379.0798241496
40,1,1768604,1768604,55379.0798241496
1,2,725363,1807123.05083937,55379.0798241496
2,2,724053,1911086.9452088,55379.0798241496
3,2,797590,1718440.26252885,55379.0798241496
4,2,987170,1901805.74205554,55379.0798241496
5,2,816881,1923711.67721946,55379.0798241496
6,2,1000992,1887412.20834798,55379.0798241496
7,2,1192282,1947233.76049633,55379.0798241496
8,2,1161074,1807036.52521614,55379.0798241496
9,2,1512440,2051330.7000211,55379.0798241496
10,2,1436649,1981353.5206815,55379.0798241496
11,2,1395944,1918533.83378233,55379.0798241496
12,2,1630091,2023366.32068394,55379.0798241496
13,2,1890101,2088226.08160872,55379.0798241496
14,2,1561542,2051694.77107794,55379.0798241496
15,2,2198627,2177949.98163842,55379.0798241496
16,2,1973541,2284170.28241675,55379.0798241496
17,2,1968513,2142284.09684943,55379.0798241496
18,2,2065190,2126549.37993275,55379.0798241496
19,2,2559237,2344002.32792192,55379.0798241496
20,2,3001903,2473851.68177159,55379.0798241496
21,2,2695712,2431468.68374982,55379.0798241496
22,2,2515027,2196942.3298516,55379.0798241496
23,2,3301681,2516251.1866559,55379.0798241496
24,2,3232506,2257027.66184119,55379.0798241496
25,2,2578003,2464297.0924425,55379.0798241496
26,2,3656928,2682350.99821469,55379.0798241496
27,2,3103251,2693538.68616062,55379.0798241496
28,2,3466948,2730953.62422131,55379.0798241496
29,2,3833932,2819813.94466712,55379.0798241496
30,2,3909772,3105023.08513773,55379.0798241496
31,2,3273024,3123027.93723676,55379.0798241496
32,2,3833430,3313768.03518073,55379.0798241496
33,2,4190417,3615770.85289035,55379.0798241496
34,2,4351342,3739294.65016988,55379.0798241496
35,2,4322399,3651155.11850968,55379.0798241496
36,2,4464036,3993557.05356095,55379.0798241496
37,2,5168945,4664244.63558124,55379.0798241496
38,2,5638940,5091453.77075941,55379.0798241496
39,2,5478232,5956605.50286936,55379.0798241496
40,2,4620833,4306714.58049689,55379.0798241496
1,3,987800,1761293.40402088,55379.0798241496
2,3,1232249,1862620.71613952,55379.0798241496
3,3,1086413,1674859.66060261,55379.0798241496
