AQ,DQ,Loss,ccODP,Dispersion
1,1,50276,46798.7720355981,22206.7071679547
2,1,58186,49850.3694244206,22206.7071679547
3,1,72981,51479.4984900712,22206.7071679547
4,1,36403,49551.386055785,22206.7071679547
5,1,29969,50475.4195390868,22206.7071679547
6,1,18834,52450.5661885061,22206.7071679547
7,1,49112,51975.2983916501,22206.7071679547
8,1,49895,53235.6382355516,22206.7071679547
9,1,122609,54684.8808314004,22206.7071679547
10,1,54015,51895.1714017741,22206.7071679547
11,1,48119,53472.0032590332,22206.7071679547
12,1,91904,57439.6435082905,22206.7071679547
13,1,24030,53746.358911714,22206.7071679547
14,1,80282,57154.2441495101,22206.7071679547
15,1,110070,56727.2806536471,22206.7071679547
16,1,34570,53340.7801194892,22206.7071679547
17,1,54663,52432.4718851306,22206.7071679547
18,1,27935,54204.9315775155,22206.7071679547
19,1,84641,56758.8307224661,22206.7071679547
20,1,63890,58537.3274941982,22206.7071679547
21,1,70215,57289.9218325924,22206.7071679547
22,1,23892,59402.3337418413,22206.7071679547
23,1,197114,61946.9249548073,22206.7071679547
24,1,40113,62972.6901462148,22206.7071679547
25,1,82975,63430.9774132281,22206.7071679547
26,1,53998,58896.147476763,22206.7071679547
27,1,44257,69949.195145165,22206.7071679547
28,1,88368,63432.8461401177,22206.7071679547
29,1,80897,65178.1366426152,22206.7071679547
30,1,60566,70992.0816517264,22206.7071679547
31,1,43716,69073.7852880364,22206.7071679547
32,1,14397,64442.9535770948,22206.7071679547
33,1,32532,67645.6617976464,22206.7071679547
34,1,58189,77390.5577392801,22206.7071679547
35,1,44041,71862.013329726,22206.7071679547
36,1,40245,82030.2385954226,22206.7071679547
37,1,112320,70744.5222983504,22206.7071679547
38,1,52318,65979.5708499891,22206.7071679547
39,1,34191,67856.5712250667,22206.7071679547
40,1,73566,73566,22206.7071679547
1,2,357130,339988.553834629,22206.7071679547
2,2,314799,362158.113803469,22206.7071679547
3,2,325076,373993.578943862,22206.7071679547
4,2,392067,359986.02853923,22206.7071679547
5,2,402731,366699.042450014,22206.7071679547
6,2,396125,381048.291879819,22206.7071679547
7,2,397005,377595.517289615,22206.7071679547
8,2,377994,386751.764392472,22206.7071679547
9,2,505367,397280.371723096,22206.7071679547
10,2,429871,377013.402455697,22206.7071679547
