AQ,DQ,Loss,ccODP,Dispersion
1,1,210257,790479.287707891,57733.354482639
2,1,163259,745192.890777691,57733.354482639
3,1,228689,780477.163754641,57733.354482639
4,1,405416,713372.927085424,57733.354482639
5,1,246955,773363.167286051,57733.354482639
6,1,345776,723752.714463097,57733.354482639
7,1,451898,778249.683410082,57733.354482639
8,1,449365,790102.125513367,57733.354482639
9,1,502189,766818.732084016,57733.354482639
10,1,337740,848121.30565196,57733.354482639
11,1,623603,888635.198962736,57733.354482639
12,1,714656,853437.289791536,57733.354482639
13,1,769239,823958.815850662,57733.354482639
14,1,598381,839430.375179432,57733.354482639
15,1,853314,830223.240567496,57733.354482639
16,1,730810,843012.6234874,57733.354482639
17,1,747929,871321.652169929,57733.354482639
18,1,931592,870993.227693997,57733.354482639
19,1,1161493,985565.120952623,57733.354482639
20,1,922128,927513.35193917,57733.354482639
21,1,796246,943362.303457568,57733.354482639
22,1,1163277,984979.680148638,57733.354482639
23,1,1200661,962270.247763493,57733.354482639
24,1,1182027,933517.366892794,57733.354482639
25,1,1302174,1102889.26963993,57733.354482639
26,1,1063959,1093836.68488384,57733.354482639
27,1,1496045,1083122.31082135,57733.354482639
28,1,1269733,1078652.12887981,57733.354482639
29,1,1434037,1166871.65781212,57733.354482639
30,1,1390072,1165331.65096104,57733.354482639
31,1,1234779,1262396.60048011,57733.354482639
32,1,1964719,1372494.20884428,57733.354482639
33,1,1801969,1484118.64871763,57733.354482639
34,1,1731103,1484151.30648038,57733.354482639
35,1,1835432,1493384.24812086,57733.354482639
36,1,2316896,1714865.76745627,57733.354482639
37,1,2155369,1750306.25698804,57733.354482639
38,1,2095581,1768929.64240311,57733.354482639
39,1,2629067,2168334.12491944,57733.354482639
40,1,2765217,2765217,57733.354482639
1,2,736140,1981671.86872103,57733.354482639
2,2,1013822,1868142.29213651,57733.354482639
3,2,1026528,1956597.29943903,57733.354482639
4,2,722089,1788372.0465485,57733.354482639
5,2,984598,1938763.04761839,57733.354482639
6,2,1094811,1814393.38951029,57733.354482639
7,2,1366393,1951013.17445868,57733.354482639
8,2,1114982,1980726.35158673,57733.354482639
9,2,1300303,1922356.64287356,57733.354482639
10,2,1501977,2126176.05395692,57733.354482639
11,2,1875947,2227741.32443874,57733.354482639
12,2,1655274,2139502.8246741,57733.354482639
13,2,1380491,2065602.51703815,57733.354482639
14,2,1808525,2104388.54769555,57733.354482639
15,2,1357876,2081306.95664601,57733.354482639
16,2,1995127,2113368.97363341,57733.354482639
17,2,2031350,2184337.57033586,57733.354482639
18,2,2608203,2183514.23498088,57733.354482639
19,2,2573621,2470737.3176692,57733.354482639
20,2,2513584,2325205.9174512,57733.354482639
21,2,3080282,2364938.04182324,57733.354482639
