AQ,DQ,Loss,ccODP,Dispersion
1,1,0,5578.59064830928,311321.944184228
2,1,0,5215.41466184449,311321.944184228
3,1,0,5993.61241321129,311321.944184228
4,1,14600,5502.09093926261,311321.944184228
5,1,4196,4841.46972819174,311321.944184228
6,1,0,5029.2775845944,311321.944184228
7,1,0,6969.56341989831,311321.944184228
8,1,10067,5786.97798869508,311321.944184228
9,1,6902,7522.61823713128,311321.944184228
10,1,0,7133.17910253308,311321.944184228
11,1,0,6107.59195365058,311321.944184228
12,1,2384,9117.40199037971,311321.944184228
13,1,8116,6727.0420743014,311321.944184228
14,1,10663,7227.13112334034,311321.944184228
15,1,13709,9212.42559432003,311321.944184228
16,1,10505,7698.7785825021,311321.944184228
17,1,34431,9121.89297744504,311321.944184228
18,1,22254,8481.44796464776,311321.944184228
19,1,0,9190.12552619648,311321.944184228
20,1,22371,7727.20222058072,311321.944184228
21,1,6208,7361.62970261888,311321.944184228
22,1,0,8196.54766724888,311321.944184228
23,1,23157,8764.1114676734,311321.944184228
24,1,0,10118.278033058,311321.944184228
25,1,0,9658.2603169116,311321.944184228
26,1,0,8315.40045871867,311321.944184228
27,1,8700,9069.81692841521,311321.944184228
28,1,3263,10824.0854260038,311321.944184228
29,1,0,8812.64528800925,311321.944184228
30,1,0,10059.47148357,311321.944184228
31,1,24748,13787.9234993178,311321.944184228
32,1,0,11199.8505263356,311321.944184228
33,1,21417,9737.3902559743,311321.944184228
34,1,34162,15109.3943681231,311321.944184228
35,1,0,9882.80577612805,311321.944184228
36,1,34791,12870.4909958015,311321.944184228
37,1,12470,22850.4219957098,311321.944184228
38,1,0,8371.74380717988,311321.944184228
39,1,11120,5059.89727215293,311321.944184228
40,1,0,9891.9964401647,311321.944184228
1,2,114497,111043.8837713,311321.944184228
2,2,46696,103814.733153886,311321.944184228
3,2,116059,119305.043539011,311321.944184228
4,2,85259,109521.129130306,311321.944184228
5,2,26462,96371.2227106192,311321.944184228
6,2,33080,100109.606666795,311321.944184228
7,2,23492,138731.704677139,311321.944184228
8,2,474065,115191.909870369,311321.944184228
9,2,137592,149740.462751652,311321.944184228
10,2,161023,141988.534581151,311321.944184228
11,2,54348,121573.847908925,311321.944184228
12,2,135725,181485.21566514,311321.944184228
13,2,274220,133904.228740957,311321.944184228
14,2,46464,143858.68386012,311321.944184228
15,2,57982,183376.695197641,311321.944184228
16,2,258649,153246.998747871,311321.944184228
17,2,418112,181574.610402475,311321.944184228
18,2,258761,168826.31857638,311321.944184228
19,2,246415,182932.804199195,311321.944184228
20,2,41534,153812.781642179,311321.944184228
21,2,152259,146535.927190268,311321.944184228
