AQ,DQ,Loss,ccODP,Dispersion
1,1,44168860,43372006.401905,323689.03137184
2,1,46003602,44987390.1347469,323689.03137184
3,1,38276975,44292341.6860795,323689.03137184
4,1,44429624,44687173.78044,323689.03137184
5,1,44031845,43798080.5147164,323689.03137184
6,1,40878297,44157532.8867145,323689.03137184
7,1,41723072,44268807.2476314,323689.03137184
8,1,41477550,44255325.3718348,323689.03137184
9,1,45379335,44139140.1432523,323689.03137184
10,1,51482572,44955539.4461789,323689.03137184
11,1,42854374,46055579.4194282,323689.03137184
12,1,45264579,46579915.2582857,323689.03137184
13,1,45514874,47795677.3949002,323689.03137184
14,1,44584218,47564802.2031689,323689.03137184
15,1,50692763,46494148.2156646,323689.03137184
16,1,52315917,47559343.2886842,323689.03137184
17,1,51465132,46726198.3584609,323689.03137184
18,1,48762477,44939502.0564864,323689.03137184
19,1,48680337,47602571.5199415,323689.03137184
20,1,43191579,48309948.3512422,323689.03137184
21,1,48748600,48533203.0112685,323689.03137184
22,1,51889610,48634127.5824853,323689.03137184
23,1,54613023,48388737.0113559,323689.03137184
24,1,48403871,47872302.5406956,323689.03137184
25,1,45715390,48987187.9633681,323689.03137184
26,1,41873444,47952235.5906999,323689.03137184
27,1,48239759,48741169.9846065,323689.03137184
28,1,50127941,49216621.8286052,323689.03137184
29,1,42174584,49518530.7905123,323689.03137184
30,1,49411634,51629068.3624434,323689.03137184
31,1,48662030,50428304.8772025,323689.03137184
32,1,54546473,51392979.6846222,323689.03137184
33,1,53579046,53773269.9372446,323689.03137184
34,1,59436886,48895705.2403942,323689.03137184
35,1,59699447,51717257.8238075,323689.03137184
36,1,49533927,50020363.1880964,323689.03137184
37,1,45872004,53225241.8874552,323689.03137184
38,1,50283430,52804274.256947,323689.03137184
39,1,52953861,52671336.7584436,323689.03137184
40,1,60235040,60235040,323689.03137184
1,2,98411118,103382416.087046,323689.03137184
2,2,99983798,107232878.333625,323689.03137184
3,2,100733899,105576146.40255,323689.03137184
4,2,108868656,106517276.39053,323689.03137184
5,2,102419335,104398015.199672,323689.03137184
6,2,95670559,105254813.345947,323689.03137184
7,2,104145135,105520049.225826,323689.03137184
8,2,114199965,105487913.546413,323689.03137184
9,2,109960939,105210972.020278,323689.03137184
10,2,113789597,107156958.370234,323689.03137184
11,2,103969245,109779036.518361,323689.03137184
