AQ,DQ,Loss,ccODP,Dispersion
1,1,207567,702569.259556896,62890.6500200005
2,1,209498,726909.723003457,62890.6500200005
3,1,229513,722222.558918257,62890.6500200005
4,1,288029,729100.825470049,62890.6500200005
5,1,355065,736202.783894404,62890.6500200005
6,1,298746,772652.476603109,62890.6500200005
7,1,259641,741572.323165446,62890.6500200005
8,1,614780,782146.867832453,62890.6500200005
9,1,470831,821966.681272528,62890.6500200005
10,1,386110,779784.868196113,62890.6500200005
11,1,414863,769498.406390558,62890.6500200005
12,1,481734,744206.759914983,62890.6500200005
13,1,766206,876419.867845906,62890.6500200005
14,1,822989,806484.150983196,62890.6500200005
15,1,554538,829716.208865433,62890.6500200005
16,1,919954,926102.91124837,62890.6500200005
17,1,757883,843591.97828561,62890.6500200005
18,1,929763,903207.272705137,62890.6500200005
19,1,1155159,870643.865777069,62890.6500200005
20,1,961042,774577.092823913,62890.6500200005
21,1,1219581,995390.564237834,62890.6500200005
22,1,1025868,958084.528433117,62890.6500200005
23,1,1153400,1021005.00813224,62890.6500200005
24,1,1022792,969500.467559356,62890.6500200005
25,1,1127399,1044741.60099393,62890.6500200005
26,1,902927,971163.746694943,62890.6500200005
27,1,1601833,1046411.33670025,62890.6500200005
28,1,1336242,982724.249147869,62890.6500200005
29,1,1452974,1110523.02077677,62890.6500200005
30,1,1770168,1240235.66665519,62890.6500200005
31,1,1485733,1316569.09866752,62890.6500200005
32,1,1600740,1271647.67903929,62890.6500200005
33,1,1980358,1336449.62461638,62890.6500200005
34,1,1703885,1358701.23128043,62890.6500200005
35,1,1994221,1461035.48436028,62890.6500200005
36,1,1575913,1640288.68797463,62890.6500200005
37,1,2478745,1989497.0788885,62890.6500200005
38,1,1672594,1884420.24495907,62890.6500200005
39,1,2295149,2026466.79840797,62890.6500200005
40,1,2408244,2408244,62890.6500200005
1,2,585589,1829610.88394,62890.6500200005
2,2,732931,1892997.62657952,62890.6500200005
3,2,949573,1880791.44717665,62890.6500200005
4,2,764550,1898703.6333058,62890.6500200005
5,2,988768,1917198.35144744,62890.6500200005
6,2,1188365,2012119.6045324,62890.6500200005
