AQ,DQ,Loss,ccODP,Dispersion
1,1,42973976,42247082.5901297,286974.045373428
2,1,48052505,44326199.0367855,286974.045373428
3,1,45895486,45866015.1582722,286974.045373428
4,1,46329777,45246174.2468939,286974.045373428
5,1,51618072,46241428.3803352,286974.045373428
6,1,44592411,45276769.3061642,286974.045373428
7,1,42140101,45500033.5685953,286974.045373428
8,1,41674735,45515594.7134029,286974.045373428
9,1,38510944,46201969.1998349,286974.045373428
10,1,40538704,45313244.9430621,286974.045373428
11,1,45522884,45880351.1383826,286974.045373428
12,1,40889796,44710124.4569954,286974.045373428
13,1,49546928,46642622.8870337,286974.045373428
14,1,46690053,47635802.2369731,286974.045373428
15,1,45348359,46625196.7742754,286974.045373428
16,1,48019747,47104113.5312721,286974.045373428
17,1,46330305,48173853.2518251,286974.045373428
18,1,48256743,47065546.525189,286974.045373428
19,1,47105280,48890450.6927251,286974.045373428
20,1,48004339,48269881.2469854,286974.045373428
21,1,37807704,47830302.3761365,286974.045373428
22,1,50184109,49477465.0907146,286974.045373428
23,1,53076546,49535884.0538996,286974.045373428
24,1,46307365,47745024.2213463,286974.045373428
25,1,52410515,49919549.9766576,286974.045373428
26,1,55271309,49786626.5309665,286974.045373428
27,1,54627231,53608753.0868315,286974.045373428
28,1,56482837,49859476.3715806,286974.045373428
29,1,53010392,50720273.0103304,286974.045373428
30,1,52287452,50234074.6404857,286974.045373428
31,1,47113834,51601174.2173424,286974.045373428
32,1,51392361,51734663.193289,286974.045373428
33,1,51139762,50043805.8068845,286974.045373428
34,1,59060337,55533752.0438926,286974.045373428
35,1,50377454,50301583.9639792,286974.045373428
36,1,60644219,52234895.3427344,286974.045373428
37,1,49000630,53710593.5301981,286974.045373428
38,1,54950416,53267184.7239972,286974.045373428
39,1,54301464,57609545.9336229,286974.045373428
40,1,51211479,51211478.9999999,286974.045373428
1,2,95355385,98303723.4748507,286974.045373428
2,2,92048924,103141569.681344,286974.045373428
3,2,104829032,106724530.89259,286974.045373428
4,2,104685223,105282237.938502,286974.045373428
5,2,112564936,107598070.917318,286974.045373428
6,2,108416372,105353428.848307,286974.045373428
7,2,111555293,105872937.107108,286974.045373428
8,2,94186257,105909145.961835,286974.045373428
9,2,105231667,107506254.296368,286974.045373428
10,2,97332472,105438303.133189,286974.045373428
11,2,104213187,106757888.94096,286974.045373428
12,2,98035983,104034916.535834,286974.045373428
13,2,105363051,108531600.795079,286974.045373428
14,2,119407218,110842606.009915,286974.045373428
15,2,106452649,108491052.391147,286974.045373428
16,2,121290336,109605432.309496,286974.045373428
17,2,117554475,112094584.014941,286974.045373428
18,2,109974768,109515691.667804,286974.045373428
19,2,120012532,113762017.417537,286974.045373428
20,2,109467631,112318029.254312,286974.045373428
21,2,104518618,111295183.719993,286974.045373428
22,2,112153632,115127927.144738,286974.045373428
23,2,115911419,115263860.829398,286974.045373428
24,2,108250717,111096752.026419,286974.045373428
25,2,117546168,116156603.86549,286974.045373428
26,2,122900924,115847307.486961,286974.045373428
27,2,130447444,124740922.122529,286974.045373428
28,2,118234010,116016820.034286,286974.045373428
29,2,115376403,118019787.092739,286974.045373428
30,2,113433991,116888463.764053,286974.045373428
31,2,120092216,120069534.989011,286974.045373428
32,2,124446579,120380147.286331,286974.045373428
33,2,116309225,116445731.777428,286974.045373428
34,2,119992638,129220156.037927,286974.045373428
35,2,116737837,117045549.590146,286974.045373428
36,2,129394913,121544125.480267,286974.045373428
37,2,129312448,124977892.20826,286974.045373428
38,2,124822267,123946134.889205,286974.045373428
39,2,137358353,134050271.066379,286974.045373428
40,2,123888841,119162762.531922,286974.045373428
1,3,86201012,87628350.5319331,286974.045373428
2,3,84614466,91940826.888036,286974.045373428
3,3,105037474,95134693.5073581,286974.045373428
4,3,105396433,93849027.5317156,286974.045373428
5,3,96656848,95913370.7413914,286974.045373428
6,3,99106176,93912487.4066682,286974.045373428
7,3,88535425,94375579.2428399,286974.045373428
8,3,100729957,94407855.9674865,286974.045373428
9,3,97379518,95831525.0211997,286974.045373428
10,3,91216809,93988144.6994327,286974.045373428
11,3,96343419,95164429.0112867,286974.045373428
12,3,95538271,92737160.0130157,286974.045373428
13,3,89547939,96745523.1814909,286974.045373428
14,3,96400789,98805562.9021485,286974.045373428
15,3,101149482,96709378.16452,286974.045373428
16,3,95902609,97702741.087704,286974.045373428
17,3,99253088,99921581.3356799,286974.045373428
18,3,97817376,97622745.9041121,286974.045373428
19,3,96306595,101407938.449393,286974.045373428
20,3,94352111,100120761.357231,286974.045373428
