AQ,DQ,Loss,ccODP,Dispersion
1,1,44455,46954.478932704,20932.5653261438
2,1,63361,52313.2446246069,20932.5653261438
3,1,54800,52738.2027107071,20932.5653261438
4,1,37955,51517.9546523891,20932.5653261438
5,1,26615,52480.9597403875,20932.5653261438
6,1,23913,51510.2665657679,20932.5653261438
7,1,28499,53597.5612093893,20932.5653261438
8,1,60209,54746.0797948759,20932.5653261438
9,1,19790,53587.8871510723,20932.5653261438
10,1,107913,54912.9047697315,20932.5653261438
11,1,30298,53585.0127876542,20932.5653261438
12,1,40085,50970.8154652934,20932.5653261438
13,1,16979,52156.3460405089,20932.5653261438
14,1,13053,53452.4310907889,20932.5653261438
15,1,46134,53807.7005196884,20932.5653261438
16,1,37548,50889.961839906,20932.5653261438
17,1,50215,52431.829956183,20932.5653261438
18,1,41052,50810.0263201594,20932.5653261438
19,1,37150,59739.9595748801,20932.5653261438
20,1,50198,57413.2777071634,20932.5653261438
21,1,95202,56014.7476938848,20932.5653261438
22,1,30757,56690.4221096805,20932.5653261438
23,1,81122,57776.6092259156,20932.5653261438
24,1,30092,59316.6052025902,20932.5653261438
25,1,64455,61238.7494173185,20932.5653261438
26,1,90523,58701.3593727728,20932.5653261438
27,1,74466,63339.7431247949,20932.5653261438
28,1,101496,64834.204060622,20932.5653261438
29,1,62074,61959.4684502348,20932.5653261438
30,1,30478,65945.931871212,20932.5653261438
31,1,104808,69335.0326226959,20932.5653261438
32,1,47245,65737.5727078373,20932.5653261438
33,1,24546,71132.7621798609,20932.5653261438
34,1,117622,66249.4982869254,20932.5653261438
35,1,112507,70299.8353188835,20932.5653261438
36,1,55370,74539.8479927592,20932.5653261438
37,1,55432,71418.3338437736,20932.5653261438
38,1,187181,78873.7370600279,20932.5653261438
39,1,119565,82141.6392298561,20932.5653261438
40,1,138260,138260,20932.5653261438
1,2,428313,358892.982106274,20932.5653261438
2,2,443312,399852.299370389,20932.5653261438
3,2,328200,403100.434122545,20932.5653261438
4,2,367583,393773.561063495,20932.5653261438
5,2,327205,401134.217079093,20932.5653261438
6,2,367357,393714.797759186,20932.5653261438
7,2,319802,409668.875329878,20932.5653261438
8,2,605515,418447.489628644,20932.5653261438
9,2,372136,409594.93240223,20932.5653261438
10,2,490595,419722.60361301,20932.5653261438
11,2,382587,409572.962424451,20932.5653261438
12,2,451590,389591.544375259,20932.5653261438
13,2,404473,398653.056997454,20932.5653261438
14,2,249513,408559.584326295,20932.5653261438
15,2,383582,411275.059136945,20932.5653261438
16,2,463214,388973.545850114,20932.5653261438
17,2,395855,400758.697316885,20932.5653261438
18,2,466137,388362.56479548,20932.5653261438
19,2,339154,456617.829227017,20932.5653261438
20,2,328498,438834.013648651,20932.5653261438
21,2,450124,428144.456050747,20932.5653261438
22,2,440501,433308.921966031,20932.5653261438
23,2,388287,441611.110428813,20932.5653261438
24,2,478916,453381.952339178,20932.5653261438
25,2,452165,468073.715189977,20932.5653261438
26,2,722866,448679.367716567,20932.5653261438
