AQ,DQ,Loss,ccODP,Dispersion
1,1,0,6070.08032973214,332492.079744686
2,1,10527,5594.33013367542,332492.079744686
3,1,3078,4825.09057288762,332492.079744686
4,1,32504,5905.57198202055,332492.079744686
5,1,5962,4053.286800053,332492.079744686
6,1,3202,4781.80321994342,332492.079744686
7,1,0,4833.22911443892,332492.079744686
8,1,0,6444.29226724629,332492.079744686
9,1,15867,5574.96638010242,332492.079744686
10,1,9059,5236.8828635495,332492.079744686
11,1,35655,6242.32190041658,332492.079744686
12,1,0,5322.14382052288,332492.079744686
13,1,15100,6556.28246926829,332492.079744686
14,1,0,7150.54447086697,332492.079744686
15,1,20359,8103.83838039843,332492.079744686
16,1,0,7189.41140717844,332492.079744686
17,1,24392,5252.68586266876,332492.079744686
18,1,14515,7666.04581624787,332492.079744686
19,1,12915,6300.29150276578,332492.079744686
20,1,0,7866.03508918879,332492.079744686
21,1,6047,6237.0666501175,332492.079744686
22,1,0,8732.81386433384,332492.079744686
23,1,0,6705.12365232587,332492.079744686
24,1,0,6878.39533168328,332492.079744686
25,1,26614,9168.37209994522,332492.079744686
26,1,12227,10436.4846646597,332492.079744686
27,1,0,7695.71149106513,332492.079744686
28,1,0,10268.0926743736,332492.079744686
29,1,0,8270.95018575484,332492.079744686
30,1,0,10965.2347336098,332492.079744686
31,1,10286,14378.2443047229,332492.079744686
32,1,16135,11662.4748532053,332492.079744686
33,1,7525,8878.1324614344,332492.079744686
34,1,7397,9951.23149419092,332492.079744686
35,1,0,13480.2357580921,332492.079744686
36,1,0,14104.1570911339,332492.079744686
37,1,19674,12340.9914181349,332492.079744686
38,1,0,9792.42932804944,332492.079744686
39,1,0,8124.72355999878,332492.079744686
40,1,0,9939.16033378214,332492.079744686
1,2,167100,160778.75823403,332492.079744686
2,2,417805,148177.520425539,332492.079744686
3,2,51435,127802.6036782,332492.079744686
4,2,461509,156421.410978731,332492.079744686
5,2,32273,107359.768418034,332492.079744686
6,2,47881,126656.04770603,332492.079744686
7,2,68560,128018.169953007,332492.079744686
8,2,67915,170690.543146526,332492.079744686
9,2,166258,147664.63096031,332492.079744686
10,2,48439,138709.782751049,332492.079744686
11,2,541896,165340.936054854,332492.079744686
12,2,72995,140968.097310888,332492.079744686
13,2,104075,173656.837600206,332492.079744686
14,2,86508,189397.108155558,332492.079744686
15,2,63369,214647.088828103,332492.079744686
16,2,107459,190426.580158739,332492.079744686
17,2,66231,139128.358195977,332492.079744686
18,2,301948,203051.238196036,332492.079744686
19,2,63534,166876.382074468,332492.079744686
20,2,87801,208348.371877459,332492.079744686
21,2,172525,165201.739772202,332492.079744686
22,2,342044,231306.818481342,332492.079744686
23,2,49337,177599.207270153,332492.079744686
24,2,118231,182188.669671129,332492.079744686
25,2,89591,242843.488254425,332492.079744686
26,2,152413,276432.09868139,332492.079744686
27,2,94378,203836.995566648,332492.079744686
28,2,148825,271971.885039383,332492.079744686
29,2,112825,219073.394097878,332492.079744686
30,2,202424,290437.148842845,332492.079744686
31,2,73519,380837.837281287,332492.079744686
32,2,395445,308905.009979777,332492.079744686
33,2,595734,235155.88510336,332492.079744686
34,2,516337,263579.154743409,332492.079744686
35,2,242147,357052.204939051,332492.079744686
36,2,384787,373578.064847499,332492.079744686
37,2,790111,326876.938656941,332492.079744686
38,2,456581,259372.947627493,332492.079744686
39,2,223325,215200.276440002,332492.079744686
40,2,278590,263259.424842725,332492.079744686
1,3,105997,366899.330911116,332492.079744686
2,3,831540,338143.133442186,332492.079744686
3,3,314813,291647.29404102,332492.079744686
4,3,190355,356955.804725963,332492.079744686
5,3,213136,244996.463662274,332492.079744686
6,3,123803,289030.83759079,332492.079744686
7,3,244523,292139.219236003,332492.079744686
8,3,1058937,389518.159993227,332492.079744686
9,3,147166,336972.71264972,332492.079744686
10,3,130510,316537.626246042,332492.079744686
11,3,435137,377310.283255463,332492.079744686
12,3,223983,321691.131037922,332492.079744686
13,3,246478,396287.284610773,332492.079744686
14,3,373822,432206.797850901,332492.079744686
15,3,262504,489827.599976953,332492.079744686
16,3,185117,434556.067078426,332492.079744686
17,3,178799,317492.821150934,332492.079744686
18,3,632301,463365.709830634,332492.079744686
19,3,351154,380814.192126475,332492.079744686
20,3,508093,475453.841526687,332492.079744686
21,3,287744,376992.635429773,332492.079744686
22,3,644818,527845.331486213,332492.079744686
23,3,500521,405283.826255924,332492.079744686
24,3,366722,415757.042386308,332492.079744686
25,3,360789,554172.170100834,332492.079744686
26,3,610252,630821.839666944,332492.079744686
27,3,534034,465158.818924787,332492.079744686
28,3,1015410,620643.570976803,332492.079744686
29,3,578955,499928.489296703,332492.079744686
30,3,779995,662781.556174611,332492.079744686
31,3,533872,869077.166778154,332492.079744686
32,3,895485,704925.468523011,332492.079744686
33,3,591252,536628.954296604,332492.079744686
34,3,437427,601491.245359086,332492.079744686
35,3,441436,814798.027621219,332492.079744686
36,3,1802444,852510.266537222,332492.079744686
37,3,644692,745937.656197926,332492.079744686
38,3,404477,591892.623044459,332492.079744686
39,3,754215,491089.981692693,332492.079744686
40,3,1100693,600761.617341544,332492.079744686
1,4,245020,690070.099969959,332492.079744686
2,4,513748,635984.986179039,332492.079744686
3,4,540559,548534.871554755,332492.079744686
4,4,625415,671368.15769167,332492.079744686
5,4,87165,460793.247433501,332492.079744686
6,4,528193,543613.798628038,332492.079744686
7,4,462673,549460.092289382,332492.079744686
8,4,603296,732611.95363629,332492.079744686
9,4,405206,633783.640127906,332492.079744686
10,4,483017,595349.004440612,332492.079744686
11,4,468142,709651.184806515,332492.079744686
12,4,853859,605041.798259824,332492.079744686
13,4,514422,745343.430932636,332492.079744686
14,4,1325592,812901.423014373,332492.079744686
15,4,885388,921275.544560826,332492.079744686
16,4,394667,817319.96596093,332492.079744686
17,4,426794,597145.55021755,332492.079744686
18,4,475350,871505.600491105,332492.079744686
19,4,1014497,716241.392368084,332492.079744686
20,4,527113,894241.150940954,332492.079744686
21,4,1237260,709053.747721294,332492.079744686
