AQ,DQ,Loss,ccODP,Dispersion
1,1,233813,812834.108305578,64856.2144723228
2,1,193253,834860.323546567,64856.2144723228
3,1,277698,781439.616321467,64856.2144723228
4,1,250753,804291.688875244,64856.2144723228
5,1,295264,777255.595469472,64856.2144723228
6,1,285757,791342.402857585,64856.2144723228
7,1,421035,832781.408289498,64856.2144723228
8,1,702831,876941.135034712,64856.2144723228
9,1,352415,860785.402147157,64856.2144723228
10,1,521081,849316.894995998,64856.2144723228
11,1,628910,919574.286625097,64856.2144723228
12,1,661943,853825.32415896,64856.2144723228
13,1,788999,868101.462180785,64856.2144723228
14,1,671696,795044.200423836,64856.2144723228
15,1,783349,900683.266762081,64856.2144723228
16,1,818173,968784.776986841,64856.2144723228
17,1,677611,905623.893239077,64856.2144723228
18,1,839630,898202.194001449,64856.2144723228
19,1,1121670,1002795.05409429,64856.2144723228
20,1,991842,884590.560130371,64856.2144723228
21,1,912423,939187.229493248,64856.2144723228
22,1,803489,947031.142048765,64856.2144723228
23,1,1255003,1006326.28143184,64856.2144723228
24,1,1307151,1038720.40355027,64856.2144723228
25,1,1199735,1049344.56619339,64856.2144723228
26,1,1406947,1080199.89071705,64856.2144723228
27,1,1519782,1094136.89888873,64856.2144723228
28,1,1287440,1077647.20304042,64856.2144723228
29,1,1399870,1130921.64612954,64856.2144723228
30,1,1564558,1230077.823806,64856.2144723228
31,1,1465038,1285876.43398924,64856.2144723228
32,1,2217885,1353547.77595049,64856.2144723228
33,1,1904529,1471485.35972397,64856.2144723228
34,1,2076482,1456585.66878266,64856.2144723228
35,1,2075086,1608927.13006406,64856.2144723228
36,1,1973381,1751159.51911548,64856.2144723228
37,1,2217216,1972391.17219641,64856.2144723228
38,1,2664586,2062280.97757132,64856.2144723228
39,1,2232604,2226007.28333133,64856.2144723228
40,1,2500447,2500447,64856.2144723228
1,2,448868,1991046.59706075,64856.2144723228
2,2,913162,2045000.06733664,64856.2144723228
3,2,735885,1914145.42400132,64856.2144723228
4,2,1063627,1970121.84136504,64856.2144723228
5,2,867847,1903896.61628733,64856.2144723228
6,2,1094655,1938402.41473619,64856.2144723228
7,2,1226532,2039907.74024816,64856.2144723228
8,2,1549608,2148077.50424401,64856.2144723228
9,2,1365162,2108503.8487341,64856.2144723228
10,2,1323431,2080411.60715202,64856.2144723228
11,2,1625840,2252507.90465248,64856.2144723228
12,2,1838121,2091455.05679479,64856.2144723228
13,2,1784026,2126424.6228318,64856.2144723228
14,2,1505275,1947470.01090616,64856.2144723228
15,2,2048899,2206234.13189992,64856.2144723228
16,2,2246252,2373049.57283947,64856.2144723228
17,2,2001729,2218336.25388749,64856.2144723228
18,2,2486938,2200156.71533159,64856.2144723228
19,2,2200116,2456358.14196565,64856.2144723228
20,2,2324811,2166814.85993635,64856.2144723228
21,2,2779688,2300550.0361981,64856.2144723228
22,2,2985074,2319763.79118417,64856.2144723228
23,2,2801962,2465007.9243776,64856.2144723228
24,2,2908481,2544357.70307123,64856.2144723228
25,2,3463668,2570381.71296583,64856.2144723228
26,2,3267691,2645962.18906333,64856.2144723228
27,2,3439439,2680101.05259021,64856.2144723228
28,2,3047846,2639709.3509258,64856.2144723228
29,2,3838235,2770205.71855978,64856.2144723228
30,2,4851946,3013089.92841635,64856.2144723228
31,2,3990827,3149769.2726895,64856.2144723228
32,2,4011164,3315531.01146712,64856.2144723228
33,2,4499889,3604420.49388225,64856.2144723228
34,2,3899503,3567923.52772048,64856.2144723228
35,2,4060806,3941085.70801812,64856.2144723228
36,2,4987279,4289485.5983758,64856.2144723228
37,2,5445463,4831395.10429839,64856.2144723228
38,2,4955494,5051581.22748564,64856.2144723228
39,2,5446034,5452630.71667644,64856.2144723228
40,2,5604053,6124873.99287277,64856.2144723228
1,3,1016388,1933075.05041322,64856.2144723228
2,3,1160812,1985457.60510958,64856.2144723228
3,3,1223491,1858412.94094369,64856.2144723228
4,3,1079425,1912759.54236279,64856.2144723228
5,3,1154964,1848462.53871923,64856.2144723228
6,3,1455088,1881963.66228637,64856.2144723228
7,3,1265840,1980513.54681491,64856.2144723228
8,3,1537937,2085533.82725342,64856.2144723228
9,3,1402050,2047112.40294683,64856.2144723228
10,3,1732619,2019838.0983712,64856.2144723228
11,3,1899191,2186923.6198541,64856.2144723228
12,3,1694143,2030560.00563669,64856.2144723228
