AQ,DQ,Loss,ccODP,Dispersion
1,1,51930120,43234179.4502879,288686.800111867
2,1,50732153,44408976.6973008,288686.800111867
3,1,41901279,43835624.9893059,288686.800111867
4,1,46925262,45698424.6671164,288686.800111867
5,1,47741271,45160634.4637693,288686.800111867
6,1,38985889,44707740.864623,288686.800111867
7,1,47789897,45537820.2971915,288686.800111867
8,1,44394651,44517446.4586905,288686.800111867
9,1,46800232,44469179.9920384,288686.800111867
10,1,48102447,45993590.1199437,288686.800111867
11,1,46113014,48153679.3272082,288686.800111867
12,1,51957859,46974438.5023652,288686.800111867
13,1,49444212,47955515.6906867,288686.800111867
14,1,42629278,45702376.0539788,288686.800111867
15,1,45677561,46232191.491406,288686.800111867
16,1,43017727,47581404.2182623,288686.800111867
17,1,48669194,47209827.0048087,288686.800111867
18,1,40109016,47556014.6784145,288686.800111867
19,1,52506908,47468626.4600023,288686.800111867
20,1,44837046,48333197.9355631,288686.800111867
21,1,44831100,48522314.29119,288686.800111867
22,1,57803444,51052856.7093541,288686.800111867
23,1,46860607,48326378.4837555,288686.800111867
24,1,48263132,47321421.9731086,288686.800111867
25,1,49425865,49509192.1782266,288686.800111867
26,1,47023301,51280717.4611645,288686.800111867
27,1,56251242,50449002.8819616,288686.800111867
28,1,47615845,48785027.7700486,288686.800111867
29,1,53546566,51917560.247944,288686.800111867
30,1,48854599,50588848.8325858,288686.800111867
31,1,48512931,51264624.2059755,288686.800111867
32,1,53019334,50715929.0140292,288686.800111867
33,1,48315400,51758162.4964087,288686.800111867
34,1,51447164,53064537.2658357,288686.800111867
35,1,49740041,52353372.7597464,288686.800111867
36,1,55469190,53035658.0844508,288686.800111867
37,1,49268972,51471043.603543,288686.800111867
38,1,51975107,53745340.720031,288686.800111867
39,1,47974989,50570966.6576972,288686.800111867
40,1,55206592,55206592.0000001,288686.800111867
1,2,102749958,101063010.463815,288686.800111867
2,2,97587189,103809183.699374,288686.800111867
3,2,110852084,102468932.759001,288686.800111867
4,2,103037688,106823361.262658,288686.800111867
5,2,106997378,105566237.902407,288686.800111867
6,2,107321998,104507566.473194,288686.800111867
7,2,106482325,106447936.972787,288686.800111867
8,2,96621099,104062739.584318,288686.800111867
9,2,99758402,103949913.23983,288686.800111867
10,2,105173757,107513331.781976,288686.800111867
11,2,112967893,112562695.987155,288686.800111867
12,2,104311817,109806135.568158,288686.800111867
13,2,98842624,112099474.204622,288686.800111867
14,2,110068755,106832597.914235,288686.800111867
15,2,107032701,108071079.684385,288686.800111867
16,2,109329494,111224961.674651,288686.800111867
17,2,114166942,110356373.157676,288686.800111867
18,2,106678997,111165611.795368,288686.800111867
19,2,112336514,110961335.536535,288686.800111867
20,2,116337889,112982333.672553,288686.800111867
21,2,124462306,113424406.783934,288686.800111867
22,2,118642245,119339732.069109,288686.800111867
23,2,115797071,112966392.712458,288686.800111867
24,2,105443134,110617234.439014,288686.800111867
25,2,115302106,115731304.971716,288686.800111867
26,2,128863012,119872372.998977,288686.800111867
27,2,123554563,117928180.226277,288686.800111867
28,2,106313551,114038518.475204,288686.800111867
29,2,129776319,121361038.911976,288686.800111867
30,2,114242745,118255080.214919,288686.800111867
31,2,114065170,119834753.855091,288686.800111867
32,2,114715535,118552139.298039,288686.800111867
33,2,121883772,120988435.179555,288686.800111867
34,2,114259255,124042180.356888,288686.800111867
35,2,125353672,122379782.068445,288686.800111867
36,2,128383848,123974673.189004,288686.800111867
37,2,127965059,120317274.074083,288686.800111867
38,2,131257076,125633607.49833,288686.800111867
39,2,120809257,118213279.342302,288686.800111867
40,2,130334322,129049387.681404,288686.800111867
1,3,93106862,91744040.3289974,288686.800111867
2,3,92948914,94236990.2907811,288686.800111867
3,3,94352540,93020323.225746,288686.800111867
4,3,100065431,96973232.0339818,288686.800111867
5,3,94184673,95832027.396083,288686.800111867
6,3,87079141,94870975.5349601,288686.800111867
7,3,99091156,96632425.4319195,288686.800111867
8,3,85376251,94467165.9131694,288686.800111867
9,3,99284709,94364743.2300197,288686.800111867
10,3,100059906,97599580.713481,288686.800111867
11,3,93526014,102183345.546427,288686.800111867
12,3,98795261,99680966.1982448,288686.800111867
13,3,108170123,101762837.215011,288686.800111867
14,3,95935365,96981616.9784926,288686.800111867
15,3,96708045,98105898.9580809,288686.800111867
16,3,109862789,100968963.052253,288686.800111867
17,3,100056850,100180466.652185,288686.800111867
18,3,105619688,100915085.79594,288686.800111867
19,3,96296372,100729645.749749,288686.800111867
20,3,94488130,102564288.648716,288686.800111867
21,3,108372729,102965598.417471,288686.800111867
22,3,102298904,108335474.488167,288686.800111867
23,3,107498308,102549817.596655,288686.800111867
24,3,111284298,100417274.043985,288686.800111867
25,3,111100189,105059778.666045,288686.800111867
26,3,103076706,108819000.861728,288686.800111867
27,3,92046010,107054081.141572,288686.800111867
28,3,101050468,103523083.17388,288686.800111867
29,3,110880217,110170397.628278,288686.800111867
30,3,114700810,107350837.844186,288686.800111867
31,3,113376297,108784850.560465,288686.800111867
32,3,117146560,107620505.256396,288686.800111867
33,3,106360815,109832151.50146,288686.800111867
34,3,115030948,112604312.348618,288686.800111867
35,3,107945229,111095202.982908,288686.800111867
36,3,113904121,112543029.983246,288686.800111867
37,3,104535299,109222877.829073,288686.800111867
38,3,110195760,114048994.781637,288686.800111867
39,3,114349127,107312891.409328,288686.800111867
40,3,106975603,117149807.565985,288686.800111867
1,4,71404173,76763692.2084543,288686.800111867
2,4,75075966,78849582.9417508,288686.800111867
3,4,72440707,77831578.3306001,288686.800111867
4,4,84123114,81139039.7634666,288686.800111867
5,4,82862460,80184175.7607872,288686.800111867
6,4,83547836,79380048.4409194,288686.800111867
7,4,78060440,80853881.4795115,288686.800111867
8,4,80274446,79042174.5320879,288686.800111867
9,4,80004619,78956475.8502305,288686.800111867
10,4,79949060,81663115.6279677,288686.800111867
11,4,90449516,85498424.2924911,288686.800111867
12,4,78244176,83404643.8421884,288686.800111867
13,4,93853540,85146578.3087289,288686.800111867
14,4,76008367,81146055.5793965,288686.800111867
15,4,83877011,82086760.1257314,288686.800111867
16,4,83201312,84482331.2179783,288686.800111867
17,4,83060307,83822583.7864809,288686.800111867
18,4,94578060,84437251.2639472,288686.800111867
19,4,80936252,84282090.6390405,288686.800111867
20,4,88967565,85817165.4221404,288686.800111867
21,4,87587302,86152947.6643273,288686.800111867
22,4,92763529,90646008.0572452,288686.800111867
23,4,88662884,85805057.2635898,288686.800111867
24,4,84501846,84020724.2833634,288686.800111867
25,4,81408633,87905181.4601582,288686.800111867
26,4,97174179,91050582.2353783,288686.800111867
27,4,84297399,89573845.9407383,288686.800111867
28,4,86934814,86619403.9932442,288686.800111867
29,4,89682115,92181317.32255,288686.800111867
30,4,92811597,89822146.9758639,288686.800111867
31,4,92384509,91022008.137207,288686.800111867
32,4,84619292,90047781.9724835,288686.800111867
33,4,92555669,91898301.4288021,288686.800111867
34,4,93190178,94217812.3339297,288686.800111867
35,4,95406713,92955116.6161172,288686.800111867
36,4,88730970,94166536.4078163,288686.800111867
37,4,90630378,91388512.4933022,288686.800111867
38,4,97594650,95426601.0163284,288686.800111867
39,4,95742989,89790396.5925649,288686.800111867
40,4,96578528,98021100.2047247,288686.800111867
1,5,65522889,62045068.0192857,288686.800111867
2,5,67437838,63731011.3175411,288686.800111867
3,5,58956887,62908198.2984477,288686.800111867
4,5,58013889,65581489.0648182,288686.800111867
5,5,60878587,64809710.1118917,288686.800111867
6,5,70334078,64159765.6808463,288686.800111867
7,5,66100720,65351006.8587746,288686.800111867
8,5,62190358,63886675.5121444,288686.800111867
9,5,60006411,63817408.6440192,288686.800111867
10,5,73070526,66005078.9381653,288686.800111867
11,5,74190086,69105007.8253678,288686.800111867
12,5,65342239,67412687.5797013,288686.800111867
13,5,65230827,68820624.5789815,288686.800111867
14,5,74457019,65587159.67242,288686.800111867
15,5,68317962,66347494.094648,288686.800111867
16,5,60006605,68283739.8260267,288686.800111867
17,5,67472094,67750491.9703654,288686.800111867
18,5,69079627,68247303.4752768,288686.800111867
19,5,74166424,68121893.255298,288686.800111867
20,5,69518181,69362633.7224642,288686.800111867
21,5,66949757,69634033.2794264,288686.800111867
22,5,77545921,73265596.9741004,288686.800111867
23,5,60362997,69352847.174954,288686.800111867
24,5,61316605,67910641.1275095,288686.800111867
25,5,67643449,71050294.8207915,288686.800111867
26,5,69272588,73592598.3425722,288686.800111867
27,5,79285638,72399010.5771651,288686.800111867
28,5,66871266,70011051.552298,288686.800111867
29,5,84683465,74506526.9639945,288686.800111867
30,5,77543667,72599702.521109,288686.800111867
31,5,67954741,73569503.0248039,288686.800111867
32,5,76698143,72782074.3991419,288686.800111867
33,5,67687358,74277776.3675479,288686.800111867
34,5,79306393,76152545.6463538,288686.800111867
35,5,76923606,75131958.4462671,288686.800111867
36,5,73342870,76111101.3354832,288686.800111867
37,5,87319289,73865734.0560254,288686.800111867
38,5,84815003,77129561.9135847,288686.800111867
39,5,83557155,72574039.9372135,288686.800111867
40,5,82465987,79226593.3875645,288686.800111867
1,6,53533271,51879844.1823235,288686.800111867
2,6,57258254,53289569.0550005,288686.800111867
3,6,56072376,52601562.5367631,288686.800111867
4,6,58331459,54836871.6893009,288686.800111867
5,6,47959120,54191538.0133256,288686.800111867
6,6,54595806,53648077.9626521,288686.800111867
7,6,52503311,54644150.7959557,288686.800111867
8,6,54614897,53419729.8303626,288686.800111867
9,6,54385804,53361811.3778562,288686.800111867
10,6,55527634,55191062.2370432,288686.800111867
11,6,54069373,57783110.7717368,288686.800111867
12,6,60945048,56368053.7260344,288686.800111867
13,6,60852836,57545319.7759077,288686.800111867
14,6,56196082,54841613.2464978,288686.800111867
15,6,50082084,55477377.4193953,288686.800111867
16,6,60358598,57096396.1431945,288686.800111867
17,6,55616861,56650513.5525964,288686.800111867
18,6,51283334,57065929.3831469,288686.800111867
19,6,55464422,56961065.8882862,288686.800111867
20,6,57703131,57998528.2388356,288686.800111867
21,6,49224125,58225462.7426704,288686.800111867
22,6,60866853,61262045.0953451,288686.800111867
23,6,49050184,57990345.0813967,288686.800111867
24,6,58561945,56784424.491593,288686.800111867
25,6,60543585,59409689.4738684,288686.800111867
26,6,65276813,61535471.8250644,288686.800111867
27,6,60720738,60537436.8600935,288686.800111867
28,6,65543013,58540711.8007323,288686.800111867
29,6,66236493,62299665.9179521,288686.800111867
30,6,53193540,60705248.2125965,288686.800111867
31,6,64116523,61516160.354783,288686.800111867
32,6,56720732,60857740.9878908,288686.800111867
33,6,62173517,62108392.9339887,288686.800111867
34,6,72172995,63676007.2692977,288686.800111867
35,6,61368801,62822629.1265175,288686.800111867
36,6,64623217,63641353.0339355,288686.800111867
37,6,59925616,61763858.0402295,288686.800111867
