AQ,DQ,Loss,ccODP,Dispersion
1,1,19971,30055.7616243853,369023.430924562
2,1,0,26627.7478293571,369023.430924562
3,1,10686,25312.3827973584,369023.430924562
4,1,2919,25759.9985643745,369023.430924562
5,1,0,25861.9653628262,369023.430924562
6,1,0,27221.9151909531,369023.430924562
7,1,10595,32595.1549036695,369023.430924562
8,1,0,34427.9746837336,369023.430924562
9,1,583,28337.2024090653,369023.430924562
10,1,0,33634.3574127442,369023.430924562
11,1,3989,29010.1549189808,369023.430924562
12,1,11645,34540.359095495,369023.430924562
13,1,803615,34718.6832722136,369023.430924562
14,1,22868,35182.1333334142,369023.430924562
15,1,3625,29800.9292292067,369023.430924562
16,1,0,42796.6171318147,369023.430924562
17,1,0,34959.3564663956,369023.430924562
18,1,7960,38032.0333746437,369023.430924562
19,1,5580,30819.4557046505,369023.430924562
20,1,47736,42870.2302827418,369023.430924562
21,1,6119,49268.1541163915,369023.430924562
22,1,235857,51319.5105642349,369023.430924562
23,1,4919,41160.153951007,369023.430924562
24,1,79984,34363.7077594085,369023.430924562
25,1,11148,57737.2430451798,369023.430924562
26,1,6278,57424.350641151,369023.430924562
27,1,0,44860.4242514715,369023.430924562
28,1,0,47733.1061319217,369023.430924562
29,1,0,45241.9940333085,369023.430924562
30,1,15575,60262.4855106238,369023.430924562
31,1,0,65731.6570914618,369023.430924562
32,1,18458,58307.9619976535,369023.430924562
33,1,8023,49473.7152723848,369023.430924562
34,1,0,76245.5751923151,369023.430924562
35,1,0,70126.5854076348,369023.430924562
36,1,204752,64644.3477930505,369023.430924562
37,1,34963,71356.4917130762,369023.430924562
38,1,83703,55189.2643455887,369023.430924562
39,1,32812,51351.8575945138,369023.430924562
40,1,0,58696.8440226731,369023.430924562
1,2,96523,141708.312073463,369023.430924562
2,2,27241,125545.752138071,369023.430924562
3,2,35661,119344.007501736,369023.430924562
4,2,64627,121454.447276779,369023.430924562
5,2,29036,121935.205112056,369023.430924562
6,2,66144,128347.160232571,369023.430924562
7,2,81051,153681.162397313,369023.430924562
8,2,32750,162322.626906301,369023.430924562
9,2,45859,133605.568624643,369023.430924562
10,2,106358,158580.84304104,369023.430924562
11,2,136972,136778.436625045,369023.430924562
12,2,90616,162852.502192547,369023.430924562
13,2,153638,163693.273369818,369023.430924562
14,2,153140,165878.36941642,369023.430924562
15,2,79185,140506.816365795,369023.430924562
16,2,231550,201779.494128117,369023.430924562
17,2,166711,164828.010613714,369023.430924562
18,2,252048,179315.211558962,369023.430924562
19,2,70074,145309.012678138,369023.430924562
20,2,739525,202126.568858568,369023.430924562
21,2,109779,232291.799690898,369023.430924562
22,2,177580,241963.6311127,369023.430924562
23,2,228456,194063.820906431,369023.430924562
24,2,237648,162019.61820261,369023.430924562
25,2,142840,272222.256682709,369023.430924562
26,2,279362,270747.01692703,369023.430924562
27,2,30187,211510.028560306,369023.430924562
28,2,449955,225054.283585018,369023.430924562
29,2,351023,213309.07163225,369023.430924562
30,2,246059,284128.388086944,369023.430924562
31,2,195739,309914.694314896,369023.430924562
32,2,378897,274913.109120059,369023.430924562
33,2,478539,233260.989053248,369023.430924562
34,2,378218,359486.207623071,369023.430924562
35,2,487319,330636.108104106,369023.430924562
36,2,128595,304788.197528515,369023.430924562
37,2,513659,336434.927935416,369023.430924562
38,2,255442,260208.92741724,369023.430924562
39,2,260656,242116.142405499,369023.430924562
40,2,153702,276746.62829851,369023.430924562
1,3,231304,383343.127132806,369023.430924562
2,3,127624,339620.876987785,369023.430924562
3,3,336400,322844.188677933,369023.430924562
4,3,361343,328553.258041282,369023.430924562
5,3,283970,329853.78310768,369023.430924562
6,3,81398,347199.123624186,369023.430924562
7,3,511911,415731.558105424,369023.430924562
8,3,184356,439108.069895116,369023.430924562
9,3,174846,361423.939990027,369023.430924562
10,3,152227,428985.959858123,369023.430924562
11,3,842580,370007.043715257,369023.430924562
12,3,251180,440541.465341354,369023.430924562
13,3,424651,442815.882752597,369023.430924562
14,3,310783,448726.908996111,369023.430924562
15,3,303302,380092.893500955,369023.430924562
16,3,257184,545845.061158081,369023.430924562
17,3,315169,445885.524308442,369023.430924562
18,3,881562,485075.666597864,369023.430924562
19,3,340406,393083.584904609,369023.430924562
20,3,2002627,546783.95253695,369023.430924562
21,3,841219,628385.615479303,369023.430924562
22,3,413262,654549.430770622,369023.430924562
23,3,861382,524972.959462293,369023.430924562
24,3,605730,438288.384004276,369023.430924562
25,3,1180698,736403.741072018,369023.430924562
26,3,1140571,732412.987015758,369023.430924562
27,3,275269,572167.67726528,369023.430924562
28,3,999742,608807.003497361,369023.430924562
29,3,167598,577034.369888704,369023.430924562
30,3,543611,768611.686941752,369023.430924562
31,3,695706,838367.674589835,369023.430924562
32,3,795898,743682.917380687,369023.430924562
33,3,580051,631007.424147481,369023.430924562
34,3,1042907,972466.364004821,369023.430924562
35,3,736962,894422.336764137,369023.430924562
36,3,436203,824499.699729554,369023.430924562
37,3,583826,910109.050516409,369023.430924562
38,3,680159,703905.808237184,369023.430924562
39,3,1050364,654961.997648665,369023.430924562
40,3,1116155,748642.873259357,369023.430924562
1,4,231135,629780.258730935,369023.430924562
2,4,734959,557950.589539839,369023.430924562
3,4,215094,530388.78822765,369023.430924562
4,4,315870,539768.007330012,369023.430924562
5,4,950782,541904.591906154,369023.430924562
6,4,480005,570400.610916499,369023.430924562
7,4,430960,682990.015197386,369023.430924562
8,4,530238,721394.422635839,369023.430924562
9,4,327520,593770.036105583,369023.430924562
10,4,552400,704765.182076135,369023.430924562
11,4,803247,607870.900063205,369023.430924562
12,4,573532,723749.295049353,369023.430924562
13,4,606371,727485.85137274,369023.430924562
14,4,368303,737196.857971055,369023.430924562
15,4,686623,624440.569995902,369023.430924562
16,4,745349,896748.681564456,369023.430924562
17,4,968910,732528.852059123,369023.430924562
18,4,914046,796912.888719271,369023.430924562
19,4,836604,645782.496886514,369023.430924562
20,4,1310034,898291.15151801,369023.430924562
21,4,1122534,1032351.5083192,369023.430924562
22,4,1508017,1075335.07368738,369023.430924562
23,4,437053,862458.676929319,369023.430924562
24,4,348150,720047.790973827,369023.430924562
25,4,1081443,1209810.49549923,369023.430924562
26,4,1035714,1203254.23312176,369023.430924562
27,4,1051355,939993.134925226,369023.430924562
28,4,640574,1000186.53013947,369023.430924562
29,4,644503,947988.444408059,369023.430924562
30,4,1159374,1262723.73965922,369023.430924562
31,4,2307213,1377323.27422665,369023.430924562
32,4,977172,1221769.18528535,369023.430924562
33,4,765516,1036658.78090223,369023.430924562
34,4,2806654,1597629.05601256,369023.430924562
35,4,1713198,1469413.40744815,369023.430924562
36,4,1409699,1354540.09076147,369023.430924562
37,4,1680637,1495184.52983512,369023.430924562
38,4,3011779,1156420.84246952,369023.430924562
39,4,1936849,1076012.86456664,369023.430924562
40,4,2340380,1229917.71352407,369023.430924562
1,5,473640,779351.815710241,369023.430924562
2,5,471755,690462.743164917,369023.430924562
3,5,443631,656355.068941874,369023.430924562
4,5,446470,667961.833898431,369023.430924562
5,5,573018,670605.85305551,369023.430924562
6,5,713975,705869.619819139,369023.430924562
7,5,576827,845198.783348115,369023.430924562
8,5,347254,892724.161054852,369023.430924562
9,5,479991,734789.236940702,369023.430924562
10,5,546002,872145.508986267,369023.430924562
11,5,942894,752239.028000525,369023.430924562
12,5,1038110,895638.310975869,369023.430924562
13,5,953303,900262.291983155,369023.430924562
14,5,2408231,912279.643305061,369023.430924562
15,5,697572,772743.961536848,369023.430924562
16,5,840054,1109724.70718808,369023.430924562
17,5,1080299,906502.99528732,369023.430924562
18,5,482775,986178.112406669,369023.430924562
19,5,1408988,799154.553552658,369023.430924562
20,5,705561,1111633.51068314,369023.430924562
21,5,1006763,1277532.93518766,369023.430924562
22,5,1113714,1330725.01171114,369023.430924562
23,5,1273851,1067290.89475491,369023.430924562
24,5,1028379,891057.70705549,369023.430924562
25,5,1763452,1497138.07833957,369023.430924562
26,5,2875011,1489024.71670697,369023.430924562
27,5,698261,1163239.63208273,369023.430924562
28,5,1356753,1237728.83876017,369023.430924562
29,5,821616,1173133.81164175,369023.430924562
30,5,1410882,1562618.11258883,369023.430924562
31,5,2779041,1704434.80834339,369023.430924562
32,5,1244948,1511936.93312919,369023.430924562
33,5,1420511,1282863.17642943,369023.430924562
34,5,975655,1977062.77447287,369023.430924562
35,5,1877595,1818396.1647692,369023.430924562
36,5,2045464,1676240.66418742,369023.430924562
37,5,1296194,1850287.87738917,369023.430924562
38,5,3061464,1431068.48906301,369023.430924562
39,5,2508357,1331563.77657412,369023.430924562
40,5,2113838,1522020.72059343,369023.430924562
1,6,317979,782712.941542805,369023.430924562
2,6,627488,693440.515354182,369023.430924562
3,6,748192,659185.744296809,369023.430924562
4,6,405205,670842.565975814,369023.430924562
5,6,855333,673497.988046072,369023.430924562
6,6,611356,708913.837546963,369023.430924562
7,6,549603,848843.888687062,369023.430924562
8,6,753449,896574.230020614,369023.430924562
9,6,1159151,737958.176867429,369023.430924562
10,6,771918,875906.827996396,369023.430924562
11,6,443662,755483.223982761,369023.430924562
12,6,922481,899500.947853043,369023.430924562
13,6,1627100,904144.870793741,369023.430924562
14,6,1255511,916214.04958195,369023.430924562
15,6,1038710,776076.58954736,369023.430924562
16,6,835719,1114510.63865726,369023.430924562
17,6,575164,910412.488501217,369023.430924562
18,6,1167608,990431.222057923,369023.430924562
19,6,897592,802601.083040383,369023.430924562
20,6,805022,1116427.67428651,369023.430924562
