AQ,DQ,Loss,ccODP,Dispersion
1,1,149102,666159.619362548,63211.702876111
2,1,281293,664236.635841813,63211.702876111
3,1,125625,735585.379410128,63211.702876111
4,1,260706,718618.461046733,63211.702876111
5,1,233875,665585.168697342,63211.702876111
6,1,376422,722092.597642865,63211.702876111
7,1,239618,672440.848994327,63211.702876111
8,1,372264,759523.699719609,63211.702876111
9,1,222948,707768.910989847,63211.702876111
10,1,436769,753423.587958121,63211.702876111
11,1,721283,776515.061497288,63211.702876111
12,1,542997,748032.91298923,63211.702876111
13,1,588306,794613.108623635,63211.702876111
14,1,653054,772728.400975729,63211.702876111
15,1,847505,811415.11436627,63211.702876111
16,1,495225,756459.637140839,63211.702876111
17,1,1032843,791435.47700285,63211.702876111
18,1,911424,844977.192389879,63211.702876111
19,1,878778,835491.303882581,63211.702876111
20,1,1272987,867556.678675039,63211.702876111
21,1,761024,905755.375747712,63211.702876111
22,1,845260,997204.685209615,63211.702876111
23,1,810370,809750.038248499,63211.702876111
24,1,1350527,882754.818746772,63211.702876111
25,1,1156672,983106.5319138,63211.702876111
26,1,1060117,997826.615540427,63211.702876111
27,1,1508373,954549.84938538,63211.702876111
28,1,1138221,1054208.88485288,63211.702876111
29,1,1201926,1003116.23381279,63211.702876111
30,1,1274533,1147611.47595491,63211.702876111
31,1,1328758,1125589.31863786,63211.702876111
32,1,1588820,1218059.47409984,63211.702876111
33,1,1442338,1246422.6303647,63211.702876111
34,1,2089745,1343996.89408188,63211.702876111
35,1,1716081,1658401.3457635,63211.702876111
36,1,1637572,1506538.09689078,63211.702876111
37,1,2400386,1674180.23025288,63211.702876111
38,1,1996852,1837091.17777547,63211.702876111
39,1,2195978,1735753.52627872,63211.702876111
40,1,2173310,2173310,63211.702876111
1,2,683236,1754746.06333653,63211.702876111
2,2,840242,1749680.68911571,63211.702876111
3,2,951816,1937622.02218587,63211.702876111
4,2,897325,1892929.08022459,63211.702876111
5,2,666334,1753232.88989574,63211.702876111
6,2,1253950,1902080.38171205,63211.702876111
7,2,1143314,1771291.59183888,63211.702876111
8,2,1188785,2000678.49109365,63211.702876111
9,2,1110565,1864350.03595663,63211.702876111
10,2,1158491,1984610.0492544,63211.702876111
11,2,1544381,2045435.82000326,63211.702876111
12,2,1543705,1970410.35085563,63211.702876111
13,2,1668908,2093108.29372574,63211.702876111
14,2,1991860,2035461.29220201,63211.702876111
15,2,1691134,2137366.83563685,63211.702876111
16,2,2234706,1992607.37481516,63211.702876111
17,2,1795369,2084738.02267472,63211.702876111
18,2,2017660,2225773.46158286,63211.702876111
19,2,2294549,2200786.46892881,63211.702876111
20,2,2175644,2285250.59516979,63211.702876111
21,2,2549994,2385870.64382569,63211.702876111
22,2,3301822,2626759.33042407,63211.702876111
23,2,2312955,2132980.82111737,63211.702876111
24,2,3263666,2325284.35837872,63211.702876111
25,2,3442810,2589623.06716659,63211.702876111
26,2,3480246,2628397.57112186,63211.702876111
27,2,2874794,2514401.26627652,63211.702876111
28,2,3321537,2776915.37712858,63211.702876111
29,2,3139524,2642331.07379929,63211.702876111
30,2,3756718,3022949.24690676,63211.702876111
31,2,4078690,2964940.18611251,63211.702876111
32,2,4511776,3208517.90616151,63211.702876111
33,2,4025783,3283229.93516018,63211.702876111
34,2,4105806,3540252.50177043,63211.702876111
35,2,5760117,4368432.35213683,63211.702876111
36,2,4494346,3968405.94648364,63211.702876111
37,2,4582794,4409995.86730166,63211.702876111
38,2,4515443,4839123.26489631,63211.702876111
39,2,4111963,4572187.47373887,63211.702876111
40,2,6059900,5724764.8402333,63211.702876111
1,3,807728,1749977.03684751,63211.702876111
2,3,1148330,1744925.42923619,63211.702876111
3,3,1179987,1932355.9777464,63211.702876111
4,3,1340252,1887784.50169323,63211.702876111
5,3,989359,1748467.9758902,63211.702876111
6,3,1300360,1896910.93189012,63211.702876111
7,3,1200668,1766477.59812334,63211.702876111
8,3,1378829,1995241.07258655,63211.702876111
9,3,1653867,1859283.12918757,63211.702876111
10,3,1746373,1979216.30135376,63211.702876111
11,3,1621188,2039876.76059802,63211.702876111
12,3,1894221,1965055.19471434,63211.702876111
13,3,1848372,2087419.67067894,63211.702876111
14,3,1329377,2029929.34144132,63211.702876111
15,3,1948393,2131557.92728886,63211.702876111
16,3,1900537,1987191.89188502,63211.702876111
17,3,2342546,2079072.14824392,63211.702876111
18,3,2115060,2219724.2828335,63211.702876111
19,3,2413327,2194805.19950967,63211.702876111
20,3,2332075,2279039.77022472,63211.702876111
21,3,2629303,2379386.35499466,63211.702876111
22,3,2867020,2619620.3573904,63211.702876111
23,3,2561417,2127183.83302375,63211.702876111
24,3,3025752,2318964.73018218,63211.702876111
25,3,2954011,2582585.02259596,63211.702876111
26,3,3333669,2621254.1456985,63211.702876111
27,3,2971479,2507567.65855774,63211.702876111
28,3,2996582,2769368.31190472,63211.702876111
29,3,3431391,2635149.78007992,63211.702876111
30,3,3454057,3014733.513967,63211.702876111
31,3,3429017,2956882.10945892,63211.702876111
32,3,3572148,3199797.83708445,63211.702876111
33,3,3897039,3274306.81468282,63211.702876111
34,3,4265874,3530630.84863695,63211.702876111
35,3,4452664,4356559.88236007,63211.702876111
36,3,4308800,3957620.66337436,63211.702876111
37,3,4018943,4398010.43673306,63211.702876111
38,3,4989891,4825971.55735518,63211.702876111
39,3,4594629,4559761.24088921,63211.702876111
40,3,4741621,5709206.14730505,63211.702876111
1,4,1111034,1644121.99239551,63211.702876111
2,4,1078037,1639375.95344995,63211.702876111
3,4,1510833,1815468.94230855,63211.702876111
4,4,1148785,1773593.56767817,63211.702876111
5,4,1510444,1642704.21361583,63211.702876111
6,4,1440701,1782167.94567447,63211.702876111
7,4,1360398,1659624.44477588,63211.702876111
8,4,1551881,1874550.15608654,63211.702876111
9,4,1445205,1746816.22582549,63211.702876111
10,4,1845169,1859494.71349948,63211.702876111
11,4,1867403,1916485.85853299,63211.702876111
12,4,1682483,1846190.20357033,63211.702876111
13,4,1863000,1961152.92695769,63211.702876111
14,4,2042372,1907140.15269872,63211.702876111
15,4,2148921,2002621.28732492,63211.702876111
16,4,2200346,1866987.86542015,63211.702876111
17,4,2028585,1953310.34106745,63211.702876111
18,4,2322271,2085454.51375482,63211.702876111
19,4,1927455,2062042.77059454,63211.702876111
20,4,2188763,2141182.04346301,63211.702876111
21,4,2324179,2235458.72447548,63211.702876111
22,4,3169184,2461161.11847465,63211.702876111
23,4,2079918,1998511.77935616,63211.702876111
24,4,2666765,2178691.96692453,63211.702876111
25,4,2714403,2426366.02851108,63211.702876111
26,4,2957444,2462696.07992368,63211.702876111
27,4,2459426,2355886.41910492,63211.702876111
