AQ,DQ,Loss,ccODP,Dispersion
1,1,44266281,42774860.5414263,280099.864496696
2,1,41711254,44123322.0619593,280099.864496696
3,1,44313088,43301271.5031742,280099.864496696
4,1,37704779,42948035.4981322,280099.864496696
5,1,38224040,43341178.2501758,280099.864496696
6,1,47944996,44544257.6512943,280099.864496696
7,1,53311910,46287606.2400008,280099.864496696
8,1,46443223,45438014.3507149,280099.864496696
9,1,42574293,44005594.6160359,280099.864496696
10,1,44911198,46862573.6049676,280099.864496696
11,1,51980262,44593066.8472734,280099.864496696
12,1,46800436,44992113.213907,280099.864496696
13,1,49023266,45303362.1876693,280099.864496696
14,1,44309670,47561383.6858646,280099.864496696
15,1,49418644,47493527.2497076,280099.864496696
16,1,44714869,46438526.719105,280099.864496696
17,1,46697398,47662714.6456749,280099.864496696
18,1,47213723,47688330.9177718,280099.864496696
19,1,49178229,49250769.4694838,280099.864496696
20,1,46334015,46350202.2002384,280099.864496696
21,1,48352333,46097975.7249838,280099.864496696
22,1,52017140,49367207.278924,280099.864496696
23,1,40632445,46941887.4110805,280099.864496696
24,1,47155244,48580251.6506986,280099.864496696
25,1,52127968,48195241.0480601,280099.864496696
26,1,47407655,47151987.3292008,280099.864496696
27,1,49974583,50647290.5361986,280099.864496696
28,1,47403804,49948542.8891957,280099.864496696
29,1,50129159,51767404.0407424,280099.864496696
30,1,49261710,49933343.8389706,280099.864496696
31,1,51589793,50824654.0841336,280099.864496696
32,1,56948611,51014415.3442239,280099.864496696
33,1,51975386,50175062.8455574,280099.864496696
34,1,40475503,49353961.2460599,280099.864496696
35,1,49913025,51448864.7445288,280099.864496696
36,1,57209575,54410529.022253,280099.864496696
37,1,50778301,50259040.7460229,280099.864496696
38,1,50339947,52026116.5791031,280099.864496696
39,1,46676012,48339280.185474,280099.864496696
40,1,50782240,50782240,280099.864496696
1,2,108053824,101274296.986983,280099.864496696
2,2,112625638,104466931.417053,280099.864496696
3,2,96649830,102520634.190716,280099.864496696
4,2,104234546,101684308.189221,280099.864496696
5,2,103481037,102615117.906068,280099.864496696
6,2,101919158,105463543.804495,280099.864496696
7,2,109281141,109591117.816186,280099.864496696
8,2,104289846,107579613.38989,280099.864496696
9,2,108016641,104188198.437656,280099.864496696
10,2,104558880,110952417.769954,280099.864496696
11,2,103973287,105579105.069844,280099.864496696
12,2,101635051,106523892.258732,280099.864496696
13,2,107276048,107260809.237694,280099.864496696
14,2,122090857,112606929.293182,280099.864496696
15,2,114681592,112446271.542792,280099.864496696
16,2,120360959,109948439.037781,280099.864496696
17,2,106922134,112846841.746149,280099.864496696
18,2,113840369,112907491.153656,280099.864496696
19,2,105190520,116606740.28988,280099.864496696
20,2,104392903,109739320.797728,280099.864496696
21,2,110338790,109142146.227441,280099.864496696
22,2,113788194,116882419.909743,280099.864496696
23,2,116308911,111140202.133334,280099.864496696
24,2,123332074,115019213.881724,280099.864496696
25,2,119642437,114107657.943932,280099.864496696
26,2,110371403,111637637.337922,280099.864496696
27,2,121631124,119913161.105024,280099.864496696
28,2,125891716,118258797.401068,280099.864496696
29,2,110809758,122565155.904831,280099.864496696
30,2,118711110,118222811.938885,280099.864496696
31,2,120643408,120333089.268457,280099.864496696
32,2,115998845,120782370.410879,280099.864496696
33,2,115964560,118795108.8944,280099.864496696
34,2,118004974,116851058.43599,280099.864496696
35,2,128200822,121810978.266881,280099.864496696
36,2,118146104,128823051.803567,280099.864496696
37,2,112201110,118993936.026142,280099.864496696
38,2,128135635,123177686.95958,280099.864496696
39,2,116111955,114448686.814525,280099.864496696
40,2,119438973,120232669.150224,280099.864496696
1,3,86438457,92479430.5355538,280099.864496696
2,3,94225911,95394810.0818467,280099.864496696
3,3,89900031,93617533.2751987,280099.864496696
4,3,92547761,92853835.5289651,280099.864496696
5,3,92527434,93703811.8320546,280099.864496696
6,3,81894607,96304874.6174433,280099.864496696
7,3,95885185,100074001.685722,280099.864496696
8,3,96146756,98237180.4053185,280099.864496696
9,3,98769319,95140282.8427255,280099.864496696
10,3,110739692,101317083.575777,280099.864496696
11,3,98673892,96410400.3068767,280099.864496696
12,3,97994454,97273140.2498349,280099.864496696
13,3,99479147,97946061.8557497,280099.864496696
14,3,99563736,102827913.944733,280099.864496696
15,3,95059749,102681208.040972,280099.864496696
16,3,100856699,100400292.403846,280099.864496696
17,3,99739994,103046991.911096,280099.864496696
18,3,91207185,103102374.40039,280099.864496696
19,3,113076758,106480373.198754,280099.864496696
20,3,104398716,100209334.418157,280099.864496696
21,3,98400785,99664019.7052092,280099.864496696
22,3,113533129,106732112.238309,280099.864496696
23,3,93260149,101488560.362144,280099.864496696
24,3,109043046,105030710.820891,280099.864496696
25,3,111471539,104198316.259425,280099.864496696
26,3,103223407,101942797.279281,280099.864496696
27,3,113509318,109499657.688427,280099.864496696
28,3,103197189,107988962.301816,280099.864496696
29,3,116952519,111921347.852328,280099.864496696
30,3,115551185,107956101.890544,280099.864496696
31,3,122758028,109883118.433902,280099.864496696
32,3,113057359,110293383.08582,280099.864496696
33,3,108447463,108478699.411513,280099.864496696
34,3,99318350,106703474.258883,280099.864496696
35,3,109169236,111232664.538247,280099.864496696
36,3,117524798,117635795.311196,280099.864496696
37,3,114539712,108660259.98972,280099.864496696
38,3,109208907,112480685.461315,280099.864496696
39,3,104274754,104509729.487528,280099.864496696
40,3,107289621,109791419.003496,280099.864496696
1,4,73625726,77723269.0483113,280099.864496696
2,4,87491878,80173466.1088062,280099.864496696
3,4,80486633,78679774.3482009,280099.864496696
4,4,73377999,78037933.3998045,280099.864496696
5,4,79342425,78752286.1645992,280099.864496696
6,4,81728834,80938319.3344574,280099.864496696
7,4,87615042,84106038.6371026,280099.864496696
8,4,75391944,82562303.4114019,280099.864496696
9,4,74601049,79959551.6310485,280099.864496696
10,4,79806345,85150772.451209,280099.864496696
11,4,78739632,81027007.1810828,280099.864496696
12,4,82613163,81752086.9995565,280099.864496696
13,4,71312013,82317636.1894904,280099.864496696
14,4,85876049,86420532.3813116,280099.864496696
15,4,87904945,86297235.0992789,280099.864496696
16,4,79086897,84380265.9017586,280099.864496696
17,4,85369092,86604653.9272985,280099.864496696
18,4,87572277,86651199.5006329,280099.864496696
19,4,96790892,89490199.5672388,280099.864496696
20,4,80439928,84219777.4686804,280099.864496696
21,4,81538289,83761474.0177939,280099.864496696
22,4,87668130,89701770.7348817,280099.864496696
23,4,88239762,85294888.1353686,280099.864496696
24,4,89203401,88271847.5686236,280099.864496696
25,4,91409558,87572271.1754676,280099.864496696
26,4,90220107,85676646.3049195,280099.864496696
27,4,84023016,92027722.3370626,280099.864496696
28,4,94914899,90758075.8513123,280099.864496696
29,4,95464690,94063003.8593481,280099.864496696
30,4,90359711,90730458.6982703,280099.864496696
31,4,101077787,92349997.4907633,280099.864496696
32,4,95605465,92694799.6779886,280099.864496696
33,4,84798924,91169669.7475931,280099.864496696
34,4,95275603,89677702.2759063,280099.864496696
35,4,98220158,93484207.9238689,280099.864496696
36,4,103758113,98865645.2114411,280099.864496696
37,4,91716374,91322260.2381143,280099.864496696
38,4,93992269,94533092.6912148,280099.864496696
39,4,97720311,87833994.8255041,280099.864496696
