AQ,DQ,Loss,ccODP,Dispersion
1,1,61054,57720.8231739389,20164.8279913026
2,1,61320,55084.0199568987,20164.8279913026
3,1,49219,54227.7703767918,20164.8279913026
4,1,52674,54396.7218555142,20164.8279913026
5,1,25191,55943.1220188884,20164.8279913026
6,1,43198,53658.842584528,20164.8279913026
7,1,56006,59354.7150160726,20164.8279913026
8,1,21247,58034.3737604313,20164.8279913026
9,1,34104,54894.3268323526,20164.8279913026
10,1,74697,59592.6804555864,20164.8279913026
11,1,56586,61459.0223132671,20164.8279913026
12,1,104535,59602.0300525721,20164.8279913026
13,1,33120,59527.4438227694,20164.8279913026
14,1,38997,56648.5716311383,20164.8279913026
15,1,34823,65400.4425700495,20164.8279913026
16,1,49595,57489.5238349875,20164.8279913026
17,1,41897,62225.9079667331,20164.8279913026
18,1,42525,65108.6712547692,20164.8279913026
19,1,57090,65406.9798324686,20164.8279913026
20,1,88217,60526.5214790997,20164.8279913026
21,1,68842,65287.3916670353,20164.8279913026
22,1,55696,61115.0534629697,20164.8279913026
23,1,86657,62475.8408514718,20164.8279913026
24,1,10475,63044.864280899,20164.8279913026
25,1,141356,66581.6262240122,20164.8279913026
26,1,76256,67296.6749580648,20164.8279913026
27,1,97157,75673.916165683,20164.8279913026
28,1,60914,68497.35558125,20164.8279913026
29,1,80798,69876.8892231462,20164.8279913026
30,1,100156,73577.6640652983,20164.8279913026
31,1,64677,80848.3140021154,20164.8279913026
32,1,67316,70702.5351611158,20164.8279913026
33,1,216742,83621.8324922929,20164.8279913026
34,1,64538,73539.9107802626,20164.8279913026
35,1,101514,82960.4586571047,20164.8279913026
36,1,77946,74188.5775196606,20164.8279913026
37,1,43852,81771.0334559092,20164.8279913026
38,1,41104,73527.974043157,20164.8279913026
39,1,66723,77923.576806611,20164.8279913026
40,1,85375,85375.0000000001,20164.8279913026
1,2,390351,398014.231993361,20164.8279913026
2,2,305552,379832.141897637,20164.8279913026
3,2,433973,373927.868530054,20164.8279913026
4,2,377481,375092.874317397,20164.8279913026
5,2,315192,385756.084568662,20164.8279913026
6,2,447787,370004.824022958,20164.8279913026
7,2,454566,409280.741563873,20164.8279913026
8,2,278676,400176.321669348,20164.8279913026
9,2,365184,378524.111985224,20164.8279913026
10,2,343251,410921.633471524,20164.8279913026
11,2,481665,423791.00331546,20164.8279913026
12,2,407350,410986.103665452,20164.8279913026
13,2,345143,410471.793935621,20164.8279913026
14,2,317257,390620.515985094,20164.8279913026
15,2,464482,450969.086894396,20164.8279913026
16,2,275166,396419.306216299,20164.8279913026
17,2,433470,429079.067268935,20164.8279913026
18,2,467499,448957.176294663,20164.8279913026
19,2,431639,451014.164620909,20164.8279913026
20,2,415562,417360.939034743,20164.8279913026
21,2,455364,450189.543813319,20164.8279913026
22,2,498146,421419.164345524,20164.8279913026
23,2,557446,430802.480756462,20164.8279913026
24,2,464458,434726.184730108,20164.8279913026
25,2,506845,459113.944833417,20164.8279913026
26,2,471307,464044.567043432,20164.8279913026
27,2,702993,521809.876720768,20164.8279913026
28,2,566730,472323.866433642,20164.8279913026
29,2,506038,481836.447730927,20164.8279913026
30,2,416616,507355.159620063,20164.8279913026
31,2,529587,557489.963518726,20164.8279913026
32,2,415498,487529.693527321,20164.8279913026
33,2,734521,576614.774480982,20164.8279913026
34,2,334385,507094.831649628,20164.8279913026
35,2,553100,572054.26781115,20164.8279913026
36,2,494300,511567.716475319,20164.8279913026
37,2,585766,563852.580240951,20164.8279913026
38,2,482491,507012.521817745,20164.8279913026
39,2,548523,537322.423198949,20164.8279913026
40,2,546126,588703.750014699,20164.8279913026
1,3,904136,759563.144059044,20164.8279913026
2,3,784364,724864.772974406,20164.8279913026
3,3,777341,713597.164728326,20164.8279913026
4,3,670719,715820.44065052,20164.8279913026
5,3,831365,736169.917762556,20164.8279913026
6,3,562526,706110.497718533,20164.8279913026
7,3,862074,781063.946653693,20164.8279913026
8,3,893191,763689.236796496,20164.8279913026
9,3,801296,722368.552405056,20164.8279913026
10,3,722610,784195.395019733,20164.8279913026
11,3,883541,808755.067099201,20164.8279913026
12,3,696772,784318.428768935,20164.8279913026
13,3,877630,783336.929405321,20164.8279913026
14,3,649251,745453.110482123,20164.8279913026
15,3,791413,860621.229043533,20164.8279913026
16,3,834872,756519.416623223,20164.8279913026
17,3,800025,818846.712471706,20164.8279913026
18,3,921437,856781.735332352,20164.8279913026
19,3,944585,860707.254559518,20164.8279913026
20,3,853080,796484.049007455,20164.8279913026
21,3,972657,859133.563161267,20164.8279913026
22,3,803146,804228.692612078,20164.8279913026
23,3,849726,822135.643524608,20164.8279913026
24,3,850790,829623.56904841,20164.8279913026
25,3,938465,876164.728262375,20164.8279913026
26,3,867571,885574.23829233,20164.8279913026
27,3,854059,995812.507954992,20164.8279913026
28,3,791016,901374.303139103,20164.8279913026
29,3,819315,919527.940817074,20164.8279913026
30,3,936565,968227.387914163,20164.8279913026
31,3,1040559,1063903.73869523,20164.8279913026
32,3,835000,930392.827872373,20164.8279913026
33,3,973699,1100401.18118936,20164.8279913026
34,3,1074770,967730.582735312,20164.8279913026
35,3,927409,1091697.99294584,20164.8279913026
36,3,944390,976266.555040124,20164.8279913026
37,3,949198,1076046.04108922,20164.8279913026
38,3,1024519,967573.504144482,20164.8279913026
39,3,1093723,1025416.37040061,20164.8279913026
40,3,1063893,1123471.56291631,20164.8279913026
1,4,1023762,1013572.00626695,20164.8279913026
2,4,1020536,967269.999818208,20164.8279913026
3,4,936817,952234.340985712,20164.8279913026
4,4,998235,955201.112418171,20164.8279913026
5,4,955022,982355.747953418,20164.8279913026
6,4,890660,942244.024629895,20164.8279913026
7,4,967253,1042262.98711912,20164.8279913026
8,4,944350,1019077.92388112,20164.8279913026
9,4,948145,963939.007114902,20164.8279913026
10,4,1152963,1046441.63694924,20164.8279913026
11,4,1041305,1079214.41732642,20164.8279913026
12,4,1048541,1046605.81495734,20164.8279913026
13,4,942449,1045296.08806115,20164.8279913026
14,4,966744,994743.374107911,20164.8279913026
15,4,1435640,1148425.37132078,20164.8279913026
16,4,1043176,1009510.41251035,20164.8279913026
17,4,1092065,1092680.85435242,20164.8279913026
18,4,1286979,1143301.89557774,20164.8279913026
19,4,1171386,1148540.16500911,20164.8279913026
20,4,1057499,1062839.79393471,20164.8279913026
21,4,1221375,1146440.20852722,20164.8279913026
22,4,1110920,1073174.35797663,20164.8279913026
23,4,1075649,1097069.65134953,20164.8279913026
24,4,1193352,1107061.64708458,20164.8279913026
25,4,1246468,1169166.84069153,20164.8279913026
