AQ,DQ,Loss,ccODP,Dispersion
1,1,91149,65325.0877153464,21621.89449656
2,1,41740,64741.0224598309,21621.89449656
3,1,57550,62497.994763114,21621.89449656
4,1,77977,60097.2748835164,21621.89449656
5,1,56585,61204.5247926757,21621.89449656
6,1,67266,61535.1877244527,21621.89449656
7,1,77632,60095.946619884,21621.89449656
8,1,89212,67290.9223755972,21621.89449656
9,1,34883,64199.6148677566,21621.89449656
10,1,17116,66791.6485269532,21621.89449656
11,1,39654,65158.8936047799,21621.89449656
12,1,154429,70889.426317104,21621.89449656
13,1,52376,66486.9019047869,21621.89449656
14,1,86239,78278.128736372,21621.89449656
15,1,306698,72324.279532097,21621.89449656
16,1,31855,67057.6425139389,21621.89449656
17,1,103087,72059.0475265428,21621.89449656
18,1,74193,73307.1890025226,21621.89449656
19,1,44197,72304.6941705114,21621.89449656
20,1,34029,71340.8186348503,21621.89449656
21,1,78047,77591.9515489541,21621.89449656
22,1,60456,75640.3723685216,21621.89449656
23,1,56405,75811.2417648551,21621.89449656
24,1,84091,77711.8900187431,21621.89449656
25,1,148265,77075.6215253984,21621.89449656
26,1,93321,83572.2892692394,21621.89449656
27,1,51928,77714.5965667067,21621.89449656
28,1,62929,79243.8839939608,21621.89449656
29,1,52246,84247.4186692939,21621.89449656
30,1,19584,81000.9811573416,21621.89449656
31,1,49610,82226.4523680646,21621.89449656
32,1,149290,89064.5904481736,21621.89449656
33,1,39956,86968.3445495638,21621.89449656
34,1,134820,93202.2838121443,21621.89449656
35,1,81762,100863.391251816,21621.89449656
36,1,18742,88695.4634779978,21621.89449656
37,1,108561,84655.1307735574,21621.89449656
38,1,55088,96400.0654696364,21621.89449656
39,1,57445,85740.8038489812,21621.89449656
40,1,58729,88778.1426665732,21621.89449656
1,2,392087,387613.369401501,21621.89449656
2,2,446590,384147.755966319,21621.89449656
3,2,393573,370838.512097044,21621.89449656
4,2,337059,356593.584855999,21621.89449656
5,2,461481,363163.570187346,21621.89449656
6,2,329109,365125.593930517,21621.89449656
7,2,372081,356585.703462188,21621.89449656
8,2,621591,399277.858849512,21621.89449656
9,2,323764,380935.256323028,21621.89449656
10,2,350480,396315.364262896,21621.89449656
11,2,395879,386627.238935789,21621.89449656
12,2,321389,420629.96546512,21621.89449656
13,2,460478,394507.1177046,21621.89449656
14,2,418689,464471.618655349,21621.89449656
15,2,234282,429143.81992305,21621.89449656
16,2,263865,397893.667930628,21621.89449656
17,2,439300,427570.037553344,21621.89449656
18,2,423356,434976.01801069,21621.89449656
19,2,455208,429027.608092946,21621.89449656
20,2,474240,423308.349885605,21621.89449656
21,2,369968,460400.11319055,21621.89449656
