AQ,DQ,Loss,ccODP,Dispersion
1,1,168014,682212.355195977,56991.1585283778
2,1,208737,663088.668671679,56991.1585283778
3,1,209785,695396.848768348,56991.1585283778
4,1,207889,702433.628950606,56991.1585283778
5,1,327110,803629.059635307,56991.1585283778
6,1,476345,735287.84574883,56991.1585283778
7,1,278275,774131.578949026,56991.1585283778
8,1,461931,794737.78015404,56991.1585283778
9,1,334189,783426.676463,56991.1585283778
10,1,470222,786637.838331009,56991.1585283778
11,1,432474,775440.866916126,56991.1585283778
12,1,807619,757645.895137837,56991.1585283778
13,1,481539,785176.789308329,56991.1585283778
14,1,625162,801046.302454564,56991.1585283778
15,1,606823,804621.141061679,56991.1585283778
16,1,801334,942522.377809441,56991.1585283778
17,1,822343,883171.589489664,56991.1585283778
18,1,823928,830369.085166482,56991.1585283778
19,1,790498,884719.313822424,56991.1585283778
20,1,1191411,925165.869616185,56991.1585283778
21,1,1302255,852905.587854563,56991.1585283778
22,1,958750,964825.384448733,56991.1585283778
23,1,1345464,949140.413132364,56991.1585283778
24,1,1080899,906662.889826942,56991.1585283778
25,1,1313061,991406.773470352,56991.1585283778
26,1,1275039,1023745.44448752,56991.1585283778
27,1,1064520,1040946.58824623,56991.1585283778
28,1,1265620,1100605.70483717,56991.1585283778
29,1,1674307,1173182.61180304,56991.1585283778
30,1,1483121,1187442.32614736,56991.1585283778
31,1,1631068,1281528.73707083,56991.1585283778
32,1,1678028,1352913.19348958,56991.1585283778
33,1,1978053,1375667.30284957,56991.1585283778
34,1,1432161,1387621.18406006,56991.1585283778
35,1,1738656,1553334.7606576,56991.1585283778
36,1,2036246,1644694.8165125,56991.1585283778
37,1,2235309,1923579.41113428,56991.1585283778
38,1,2271381,1928426.90601057,56991.1585283778
39,1,2193719,2033793.45231056,56991.1585283778
40,1,2251072,2251072,56991.1585283778
1,2,790205,1740727.73713002,56991.1585283778
2,2,522414,1691931.88739865,56991.1585283778
3,2,705518,1774369.18833893,56991.1585283778
4,2,922907,1792324.18189782,56991.1585283778
5,2,1151863,2050533.65541736,56991.1585283778
6,2,1042348,1876154.745837,56991.1585283778
7,2,1020491,1975268.11322219,56991.1585283778
8,2,1193255,2027846.73587723,56991.1585283778
9,2,1245899,1998985.41171242,56991.1585283778
10,2,1323792,2007178.98734834,56991.1585283778
11,2,1986996,1978608.8822113,56991.1585283778
12,2,1268908,1933203.37068694,56991.1585283778
13,2,1962447,2003450.98603069,56991.1585283778
